Timestamp,Device Name,Source IP,Destination IP,Traffic Volume (MB/s),Latency (ms),Bandwidth Allocated (MB/s),Bandwidth Used (MB/s),Congestion Flag,Log Text
2024-04-20 19:00:00,Router_B,192.168.1.119,192.168.2.187,46.73,51.1,100,47.52,No,Normal operation
2024-04-20 20:00:00,Router_B,192.168.1.253,192.168.2.172,17.44,35.11,100,31.93,Yes,"Congestion detected, high utilization"
2024-04-20 21:00:00,Router_B,192.168.1.166,192.168.2.236,71.97,53.85,100,70.33,No,Normal operation
2024-04-20 22:00:00,Router_B,192.168.1.56,192.168.2.20,88.16,42.81,100,101.15,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-20 23:00:00,Router_B,192.168.1.134,192.168.2.50,73.39,45.94,100,92.97,Yes,"Congestion detected, high utilization"
2024-04-21 00:00:00,Router_B,192.168.1.16,192.168.2.41,14.32,59.98,100,28.64,Yes,"Congestion detected, high utilization"
2024-04-21 01:00:00,Router_B,192.168.1.91,192.168.2.180,59.5,17.95,100,58.08,No,Normal operation
2024-04-21 02:00:00,Router_B,192.168.1.37,192.168.2.120,5.29,48.73,100,3.0,No,Normal operation
2024-04-21 03:00:00,Router_B,192.168.1.27,192.168.2.112,26.27,34.36,100,28.66,No,Normal operation
2024-04-21 04:00:00,Router_B,192.168.1.98,192.168.2.165,55.85,24.88,100,54.21,No,Normal operation
2024-04-21 05:00:00,Router_B,192.168.1.244,192.168.2.28,85.14,49.96,100,82.61,No,Normal operation
2024-04-21 06:00:00,Router_B,192.168.1.26,192.168.2.254,8.74,42.89,100,8.63,No,Normal operation
2024-04-21 07:00:00,Router_B,192.168.1.203,192.168.2.57,5.12,20.53,100,24.15,Yes,"Congestion detected, high utilization"
2024-04-21 08:00:00,Router_B,192.168.1.151,192.168.2.17,22.28,21.78,100,27.12,No,Normal operation
2024-04-21 09:00:00,Router_B,192.168.1.109,192.168.2.151,55.02,32.58,100,103.43,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-21 10:00:00,Router_B,192.168.1.48,192.168.2.206,14.59,51.56,100,18.15,No,Normal operation
2024-04-21 11:00:00,Router_B,192.168.1.184,192.168.2.62,54.99,51.31,100,56.25,No,Normal operation
2024-04-21 12:00:00,Router_B,192.168.1.121,192.168.2.249,30.56,30.85,100,27.5,No,Normal operation
2024-04-21 13:00:00,Router_B,192.168.1.199,192.168.2.244,35.43,55.69,100,45.8,Yes,"Congestion detected, high utilization"
2024-04-21 14:00:00,Router_B,192.168.1.17,192.168.2.62,80.45,35.92,100,100.0,Yes,"Congestion detected, high utilization"
2024-04-21 15:00:00,Router_B,192.168.1.23,192.168.2.155,78.7,17.28,100,104.72,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-21 16:00:00,Router_B,192.168.1.81,192.168.2.179,62.72,15.83,100,63.31,No,Normal operation
2024-04-21 17:00:00,Router_B,192.168.1.134,192.168.2.247,57.23,29.97,100,55.73,No,Normal operation
2024-04-21 18:00:00,Router_B,192.168.1.232,192.168.2.254,38.95,55.32,100,40.54,No,Normal operation
2024-04-21 19:00:00,Router_B,192.168.1.46,192.168.2.187,86.34,19.96,100,92.11,Yes,"High utilization, nearing bandwidth limit"
2024-04-21 20:00:00,Router_B,192.168.1.165,192.168.2.238,78.05,41.09,100,77.55,No,Normal operation
2024-04-21 21:00:00,Router_B,192.168.1.237,192.168.2.123,74.53,50.37,100,72.85,No,Normal operation
2024-04-21 22:00:00,Router_B,192.168.1.11,192.168.2.25,8.52,31.41,100,7.82,No,Normal operation
2024-04-21 23:00:00,Router_B,192.168.1.218,192.168.2.211,61.19,54.28,100,64.92,No,Normal operation
2024-04-22 00:00:00,Router_B,192.168.1.59,192.168.2.108,27.44,31.08,100,30.75,Yes,"High utilization, nearing bandwidth limit"
2024-04-22 01:00:00,Router_B,192.168.1.123,192.168.2.183,29.94,55.69,100,26.58,No,Normal operation
2024-04-22 02:00:00,Router_B,192.168.1.159,192.168.2.26,34.93,33.49,100,39.41,No,Normal operation
2024-04-22 03:00:00,Router_B,192.168.1.160,192.168.2.82,24.08,13.02,100,28.07,No,Normal operation
2024-04-22 04:00:00,Router_B,192.168.1.52,192.168.2.77,17.47,10.29,100,16.07,No,Normal operation
2024-04-22 05:00:00,Router_B,192.168.1.96,192.168.2.122,73.71,53.96,100,77.03,No,Normal operation
2024-04-22 06:00:00,Router_B,192.168.1.240,192.168.2.44,51.05,42.28,100,51.83,No,Normal operation
2024-04-22 07:00:00,Router_B,192.168.1.185,192.168.2.226,24.42,46.5,100,27.6,No,Normal operation
2024-04-22 08:00:00,Router_B,192.168.1.253,192.168.2.87,77.02,21.44,100,72.97,No,Normal operation
2024-04-22 09:00:00,Router_B,192.168.1.88,192.168.2.147,88.17,29.45,100,91.06,No,Normal operation
2024-04-22 10:00:00,Router_B,192.168.1.131,192.168.2.245,36.38,38.8,100,38.42,No,Normal operation
2024-04-22 11:00:00,Router_B,192.168.1.93,192.168.2.252,12.56,53.34,100,26.02,Yes,"Congestion detected, high utilization"
2024-04-22 12:00:00,Router_B,192.168.1.195,192.168.2.108,10.8,14.98,100,15.8,No,Normal operation
2024-04-22 13:00:00,Router_B,192.168.1.138,192.168.2.227,28.24,49.43,100,50.06,Yes,"Congestion detected, high utilization"
2024-04-22 14:00:00,Router_B,192.168.1.127,192.168.2.221,75.8,31.48,100,80.79,No,Normal operation
2024-04-22 15:00:00,Router_B,192.168.1.107,192.168.2.59,15.48,42.47,100,33.79,Yes,"Congestion detected, high utilization"
2024-04-22 16:00:00,Router_B,192.168.1.106,192.168.2.172,86.33,18.46,100,90.6,No,Normal operation
2024-04-22 17:00:00,Router_B,192.168.1.242,192.168.2.36,87.48,45.59,100,84.75,No,Normal operation
2024-04-22 18:00:00,Router_B,192.168.1.85,192.168.2.23,63.72,37.03,100,73.47,Yes,"Congestion detected, high utilization"
2024-04-22 19:00:00,Router_B,192.168.1.249,192.168.2.41,49.89,22.78,100,46.43,No,Normal operation
2024-04-22 20:00:00,Router_B,192.168.1.85,192.168.2.78,84.21,41.01,100,88.43,No,Normal operation
2024-04-22 21:00:00,Router_B,192.168.1.74,192.168.2.145,51.2,16.54,100,55.44,No,Normal operation
2024-04-22 22:00:00,Router_B,192.168.1.167,192.168.2.249,51.27,22.31,100,53.8,No,Normal operation
2024-04-22 23:00:00,Router_B,192.168.1.20,192.168.2.191,19.35,16.66,100,22.94,No,Normal operation
2024-04-23 00:00:00,Router_B,192.168.1.198,192.168.2.126,10.9,12.08,100,14.55,No,Normal operation
2024-04-23 01:00:00,Router_B,192.168.1.5,192.168.2.81,83.25,24.69,100,88.16,No,Normal operation
2024-04-23 02:00:00,Router_B,192.168.1.99,192.168.2.31,52.89,21.93,100,58.29,Yes,"High utilization, nearing bandwidth limit"
2024-04-23 03:00:00,Router_B,192.168.1.73,192.168.2.107,87.99,55.92,100,100.0,Yes,"Congestion detected, high utilization"
2024-04-23 04:00:00,Router_B,192.168.1.242,192.168.2.26,96.92,19.31,100,100.0,Yes,"Congestion detected, high utilization"
2024-04-23 05:00:00,Router_B,192.168.1.68,192.168.2.119,44.32,56.42,100,47.26,No,Normal operation
2024-04-23 06:00:00,Router_B,192.168.1.27,192.168.2.75,77.94,41.11,100,77.65,No,Normal operation
2024-04-23 07:00:00,Router_B,192.168.1.225,192.168.2.56,87.84,17.31,100,84.8,No,Normal operation
2024-04-23 08:00:00,Router_B,192.168.1.140,192.168.2.40,98.26,11.02,100,100.0,Yes,"High utilization, nearing bandwidth limit"
2024-04-23 09:00:00,Router_B,192.168.1.117,192.168.2.169,26.08,33.27,100,23.79,No,Normal operation
2024-04-23 10:00:00,Router_B,192.168.1.209,192.168.2.71,51.42,56.11,100,102.31,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-23 11:00:00,Router_B,192.168.1.27,192.168.2.31,41.89,11.83,100,38.3,No,Normal operation
2024-04-23 12:00:00,Router_B,192.168.1.54,192.168.2.10,65.77,36.22,100,70.59,Yes,"High utilization, nearing bandwidth limit"
2024-04-23 13:00:00,Router_B,192.168.1.36,192.168.2.4,88.36,25.79,100,89.75,No,Normal operation
2024-04-23 14:00:00,Router_B,192.168.1.178,192.168.2.77,70.95,39.83,100,101.58,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-23 15:00:00,Router_B,192.168.1.126,192.168.2.100,18.31,13.28,100,17.42,No,Normal operation
2024-04-23 16:00:00,Router_B,192.168.1.66,192.168.2.58,80.5,28.05,100,84.47,No,Normal operation
2024-04-23 17:00:00,Router_B,192.168.1.41,192.168.2.91,89.3,15.76,100,92.6,No,Normal operation
2024-04-23 18:00:00,Router_B,192.168.1.167,192.168.2.25,66.73,58.58,100,68.91,No,Normal operation
2024-04-23 19:00:00,Router_B,192.168.1.240,192.168.2.119,36.53,33.23,100,33.11,No,Normal operation
2024-04-23 20:00:00,Router_B,192.168.1.179,192.168.2.188,73.35,11.99,100,80.85,Yes,"High utilization, nearing bandwidth limit"
2024-04-23 21:00:00,Router_B,192.168.1.37,192.168.2.173,6.57,51.74,100,4.52,No,Normal operation
2024-04-23 22:00:00,Router_B,192.168.1.86,192.168.2.198,27.3,52.49,100,28.27,No,Normal operation
2024-04-23 23:00:00,Router_B,192.168.1.219,192.168.2.38,56.07,27.7,100,54.01,No,Normal operation
2024-04-24 00:00:00,Router_B,192.168.1.217,192.168.2.3,67.63,52.74,100,65.23,No,Normal operation
2024-04-24 01:00:00,Router_B,192.168.1.222,192.168.2.161,39.5,45.9,100,42.56,No,Normal operation
2024-04-24 02:00:00,Router_B,192.168.1.201,192.168.2.110,46.33,47.94,100,102.22,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-24 03:00:00,Router_B,192.168.1.174,192.168.2.35,65.97,57.3,100,66.65,No,Normal operation
2024-04-24 04:00:00,Router_B,192.168.1.50,192.168.2.123,41.81,53.58,100,41.47,No,Normal operation
2024-04-24 05:00:00,Router_B,192.168.1.64,192.168.2.179,89.69,52.62,100,88.73,No,Normal operation
2024-04-24 06:00:00,Router_B,192.168.1.233,192.168.2.57,56.53,50.56,100,57.75,No,Normal operation
2024-04-24 07:00:00,Router_B,192.168.1.251,192.168.2.42,23.55,30.11,100,24.45,No,Normal operation
2024-04-24 08:00:00,Router_B,192.168.1.134,192.168.2.115,8.31,22.57,100,4.61,No,Normal operation
2024-04-24 09:00:00,Router_B,192.168.1.83,192.168.2.100,51.36,11.42,100,66.19,Yes,"High utilization, nearing bandwidth limit"
2024-04-24 10:00:00,Router_B,192.168.1.101,192.168.2.62,30.11,10.12,100,27.5,No,Normal operation
2024-04-24 11:00:00,Router_B,192.168.1.106,192.168.2.171,89.81,20.29,100,89.76,No,Normal operation
2024-04-24 12:00:00,Router_B,192.168.1.20,192.168.2.196,15.77,37.95,100,10.8,No,Normal operation
2024-04-24 13:00:00,Router_B,192.168.1.248,192.168.2.34,24.48,33.55,100,27.99,No,Normal operation
2024-04-24 14:00:00,Router_B,192.168.1.236,192.168.2.98,32.13,17.79,100,104.67,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-24 15:00:00,Router_B,192.168.1.204,192.168.2.125,9.99,51.66,100,8.97,No,Normal operation
2024-04-24 16:00:00,Router_B,192.168.1.233,192.168.2.81,48.79,49.66,100,49.04,No,Normal operation
2024-04-24 17:00:00,Router_B,192.168.1.31,192.168.2.168,11.65,55.55,100,16.47,No,Normal operation
2024-04-24 18:00:00,Router_B,192.168.1.170,192.168.2.126,41.2,18.49,100,61.03,Yes,"Congestion detected, high utilization"
2024-04-24 19:00:00,Router_B,192.168.1.210,192.168.2.129,54.84,30.8,100,53.34,No,Normal operation
2024-04-24 20:00:00,Router_B,192.168.1.77,192.168.2.79,67.36,50.21,100,82.91,Yes,"Congestion detected, high utilization"
2024-04-24 21:00:00,Router_B,192.168.1.248,192.168.2.38,52.59,56.91,100,51.56,No,Normal operation
2024-04-24 22:00:00,Router_B,192.168.1.57,192.168.2.116,51.2,25.92,100,53.49,No,Normal operation
2024-04-24 23:00:00,Router_B,192.168.1.20,192.168.2.107,14.71,27.55,100,14.66,No,Normal operation
2024-04-25 00:00:00,Router_B,192.168.1.73,192.168.2.12,62.84,16.86,100,104.23,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-25 01:00:00,Router_B,192.168.1.175,192.168.2.93,15.99,56.95,100,20.8,No,Normal operation
2024-04-25 02:00:00,Router_B,192.168.1.177,192.168.2.41,43.67,53.12,100,41.86,No,Normal operation
2024-04-25 03:00:00,Router_B,192.168.1.78,192.168.2.235,41.38,59.1,100,41.52,No,Normal operation
2024-04-25 04:00:00,Router_B,192.168.1.182,192.168.2.191,99.66,58.14,100,100.0,No,Normal operation
2024-04-25 05:00:00,Router_B,192.168.1.200,192.168.2.235,88.06,59.59,100,90.65,No,Normal operation
2024-04-25 06:00:00,Router_B,192.168.1.146,192.168.2.149,80.1,29.9,100,84.95,No,Normal operation
2024-04-25 07:00:00,Router_B,192.168.1.126,192.168.2.37,8.44,19.06,100,11.16,No,Normal operation
2024-04-25 08:00:00,Router_B,192.168.1.58,192.168.2.29,14.33,44.43,100,12.92,No,Normal operation
2024-04-25 09:00:00,Router_B,192.168.1.196,192.168.2.146,10.84,26.26,100,14.87,No,Normal operation
2024-04-25 10:00:00,Router_B,192.168.1.12,192.168.2.22,18.0,12.33,100,104.03,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-25 11:00:00,Router_B,192.168.1.251,192.168.2.35,44.47,33.44,100,104.01,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-25 12:00:00,Router_B,192.168.1.250,192.168.2.165,35.52,20.19,100,36.46,No,Normal operation
2024-04-25 13:00:00,Router_B,192.168.1.83,192.168.2.26,22.72,29.9,100,104.39,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-25 14:00:00,Router_B,192.168.1.101,192.168.2.246,63.56,56.68,100,66.0,No,Normal operation
2024-04-25 15:00:00,Router_B,192.168.1.186,192.168.2.222,60.21,16.03,100,57.39,No,Normal operation
2024-04-25 16:00:00,Router_B,192.168.1.141,192.168.2.230,79.46,21.28,100,76.88,No,Normal operation
2024-04-25 17:00:00,Router_B,192.168.1.229,192.168.2.22,14.41,40.16,100,18.35,No,Normal operation
2024-04-25 18:00:00,Router_B,192.168.1.22,192.168.2.7,21.83,18.06,100,103.73,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-25 19:00:00,Router_B,192.168.1.197,192.168.2.189,19.11,45.43,100,21.01,No,Normal operation
2024-04-25 20:00:00,Router_B,192.168.1.98,192.168.2.170,12.39,57.04,100,24.12,Yes,"High utilization, nearing bandwidth limit"
2024-04-25 21:00:00,Router_B,192.168.1.5,192.168.2.13,98.06,48.52,100,99.84,No,Normal operation
2024-04-25 22:00:00,Router_B,192.168.1.159,192.168.2.18,81.57,16.82,100,85.33,No,Normal operation
2024-04-25 23:00:00,Router_B,192.168.1.192,192.168.2.176,91.83,31.82,100,93.0,No,Normal operation
2024-04-26 00:00:00,Router_B,192.168.1.55,192.168.2.96,31.63,12.14,100,30.88,No,Normal operation
2024-04-26 01:00:00,Router_B,192.168.1.164,192.168.2.236,91.41,22.3,100,90.43,No,Normal operation
2024-04-26 02:00:00,Router_B,192.168.1.200,192.168.2.144,35.98,17.16,100,102.75,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-26 03:00:00,Router_B,192.168.1.41,192.168.2.176,58.66,51.28,100,75.0,Yes,"Congestion detected, high utilization"
2024-04-26 04:00:00,Router_B,192.168.1.225,192.168.2.167,56.18,57.05,100,53.63,No,Normal operation
2024-04-26 05:00:00,Router_B,192.168.1.221,192.168.2.198,62.28,47.77,100,74.18,Yes,"High utilization, nearing bandwidth limit"
2024-04-26 06:00:00,Router_B,192.168.1.250,192.168.2.109,49.06,37.63,100,53.74,No,Normal operation
2024-04-26 07:00:00,Router_B,192.168.1.65,192.168.2.114,79.21,23.34,100,76.31,No,Normal operation
2024-04-26 08:00:00,Router_B,192.168.1.221,192.168.2.11,52.15,57.22,100,60.25,Yes,"High utilization, nearing bandwidth limit"
2024-04-26 09:00:00,Router_B,192.168.1.241,192.168.2.91,64.18,42.96,100,63.83,No,Normal operation
2024-04-26 10:00:00,Router_B,192.168.1.57,192.168.2.46,66.69,42.94,100,70.41,No,Normal operation
2024-04-26 11:00:00,Router_B,192.168.1.144,192.168.2.164,50.96,38.34,100,55.87,No,Normal operation
2024-04-26 12:00:00,Router_B,192.168.1.131,192.168.2.186,73.08,11.46,100,70.87,No,Normal operation
2024-04-26 13:00:00,Router_B,192.168.1.160,192.168.2.81,86.09,53.59,100,88.4,No,Normal operation
2024-04-26 14:00:00,Router_B,192.168.1.231,192.168.2.24,10.17,43.9,100,10.44,No,Normal operation
2024-04-26 15:00:00,Router_B,192.168.1.45,192.168.2.95,88.47,41.58,100,88.93,No,Normal operation
2024-04-26 16:00:00,Router_B,192.168.1.56,192.168.2.167,41.19,29.06,100,39.91,No,Normal operation
2024-04-26 17:00:00,Router_B,192.168.1.177,192.168.2.155,81.41,37.49,100,76.53,No,Normal operation
2024-04-26 18:00:00,Router_B,192.168.1.119,192.168.2.180,90.81,59.86,100,90.56,No,Normal operation
2024-04-26 19:00:00,Router_B,192.168.1.56,192.168.2.71,49.69,20.47,100,51.51,No,Normal operation
2024-04-26 20:00:00,Router_B,192.168.1.201,192.168.2.205,53.61,56.83,100,57.82,No,Normal operation
2024-04-26 21:00:00,Router_B,192.168.1.92,192.168.2.156,9.78,12.6,100,6.48,No,Normal operation
2024-04-26 22:00:00,Router_B,192.168.1.101,192.168.2.94,49.64,19.07,100,70.37,Yes,"Congestion detected, high utilization"
2024-04-26 23:00:00,Router_B,192.168.1.216,192.168.2.185,68.9,18.16,100,65.13,No,Normal operation
2024-04-27 00:00:00,Router_B,192.168.1.44,192.168.2.225,35.52,42.51,100,38.67,No,Normal operation
2024-04-27 01:00:00,Router_B,192.168.1.127,192.168.2.192,76.91,17.67,100,73.12,No,Normal operation
2024-04-27 02:00:00,Router_B,192.168.1.27,192.168.2.25,44.71,36.74,100,49.4,No,Normal operation
2024-04-27 03:00:00,Router_B,192.168.1.146,192.168.2.37,38.3,34.5,100,34.62,No,Normal operation
2024-04-27 04:00:00,Router_B,192.168.1.244,192.168.2.226,36.46,25.36,100,50.3,Yes,"Congestion detected, high utilization"
2024-04-27 05:00:00,Router_B,192.168.1.59,192.168.2.243,96.07,29.93,100,92.17,No,Normal operation
2024-04-27 06:00:00,Router_B,192.168.1.87,192.168.2.88,79.26,37.53,100,77.35,No,Normal operation
2024-04-27 07:00:00,Router_B,192.168.1.206,192.168.2.1,86.04,46.29,100,88.43,No,Normal operation
2024-04-27 08:00:00,Router_B,192.168.1.202,192.168.2.51,15.75,22.58,100,14.54,No,Normal operation
2024-04-27 09:00:00,Router_B,192.168.1.170,192.168.2.145,94.73,52.81,100,96.47,No,Normal operation
2024-04-27 10:00:00,Router_B,192.168.1.82,192.168.2.149,96.19,47.61,100,100.0,Yes,"Congestion detected, high utilization"
2024-04-27 11:00:00,Router_B,192.168.1.111,192.168.2.72,72.17,54.55,100,70.43,No,Normal operation
2024-04-27 12:00:00,Router_B,192.168.1.37,192.168.2.52,37.0,13.59,100,40.94,No,Normal operation
2024-04-27 13:00:00,Router_B,192.168.1.246,192.168.2.245,57.01,14.93,100,53.7,No,Normal operation
2024-04-27 14:00:00,Router_B,192.168.1.54,192.168.2.61,37.96,18.12,100,35.51,No,Normal operation
2024-04-27 15:00:00,Router_B,192.168.1.13,192.168.2.215,94.11,46.28,100,92.13,No,Normal operation
2024-04-27 16:00:00,Router_B,192.168.1.72,192.168.2.14,53.06,51.68,100,52.39,No,Normal operation
2024-04-27 17:00:00,Router_B,192.168.1.148,192.168.2.179,70.91,14.17,100,70.12,No,Normal operation
2024-04-27 18:00:00,Router_B,192.168.1.55,192.168.2.42,33.16,16.38,100,35.94,No,Normal operation
2024-04-27 19:00:00,Router_B,192.168.1.164,192.168.2.83,59.51,51.01,100,55.04,No,Normal operation
2024-04-27 20:00:00,Router_B,192.168.1.17,192.168.2.35,53.97,43.49,100,50.73,No,Normal operation
2024-04-27 21:00:00,Router_B,192.168.1.225,192.168.2.141,73.11,53.13,100,74.15,No,Normal operation
2024-04-27 22:00:00,Router_B,192.168.1.13,192.168.2.54,19.6,43.15,100,16.46,No,Normal operation
2024-04-27 23:00:00,Router_B,192.168.1.16,192.168.2.59,51.59,53.49,100,56.42,No,Normal operation
2024-04-28 00:00:00,Router_B,192.168.1.245,192.168.2.237,60.64,11.96,100,75.63,Yes,"Congestion detected, high utilization"
2024-04-28 01:00:00,Router_B,192.168.1.4,192.168.2.89,79.69,34.73,100,90.0,Yes,"Congestion detected, high utilization"
2024-04-28 02:00:00,Router_B,192.168.1.40,192.168.2.126,10.33,47.18,100,6.72,No,Normal operation
2024-04-28 03:00:00,Router_B,192.168.1.91,192.168.2.141,91.87,15.36,100,89.46,No,Normal operation
2024-04-28 04:00:00,Router_B,192.168.1.95,192.168.2.2,54.55,52.73,100,58.02,No,Normal operation
2024-04-28 05:00:00,Router_B,192.168.1.86,192.168.2.182,79.71,30.42,100,81.32,No,Normal operation
2024-04-28 06:00:00,Router_B,192.168.1.4,192.168.2.92,5.29,49.0,100,10.09,No,Normal operation
2024-04-28 07:00:00,Router_B,192.168.1.62,192.168.2.161,32.57,51.32,100,36.96,No,Normal operation
2024-04-28 08:00:00,Router_B,192.168.1.50,192.168.2.153,53.74,10.67,100,56.66,No,Normal operation
2024-04-28 09:00:00,Router_B,192.168.1.125,192.168.2.148,15.2,43.32,100,16.66,No,Normal operation
2024-04-28 10:00:00,Router_B,192.168.1.209,192.168.2.34,90.5,54.88,100,92.23,No,Normal operation
2024-04-28 11:00:00,Router_B,192.168.1.114,192.168.2.153,14.45,48.77,100,14.83,No,Normal operation
2024-04-28 12:00:00,Router_B,192.168.1.20,192.168.2.143,67.72,36.42,100,65.88,No,Normal operation
2024-04-28 13:00:00,Router_B,192.168.1.44,192.168.2.103,28.68,19.13,100,49.2,Yes,"Congestion detected, high utilization"
2024-04-28 14:00:00,Router_B,192.168.1.120,192.168.2.74,51.14,56.56,100,67.18,Yes,"Congestion detected, high utilization"
2024-04-28 15:00:00,Router_B,192.168.1.149,192.168.2.70,21.38,32.79,100,22.09,No,Normal operation
2024-04-28 16:00:00,Router_B,192.168.1.214,192.168.2.219,27.97,22.96,100,32.14,No,Normal operation
2024-04-28 17:00:00,Router_B,192.168.1.198,192.168.2.18,67.82,32.99,100,65.99,No,Normal operation
2024-04-28 18:00:00,Router_B,192.168.1.35,192.168.2.211,57.77,22.65,100,67.19,Yes,"Congestion detected, high utilization"
2024-04-28 19:00:00,Router_B,192.168.1.38,192.168.2.178,8.51,16.75,100,4.96,No,Normal operation
2024-04-28 20:00:00,Router_B,192.168.1.26,192.168.2.40,24.12,21.96,100,27.82,No,Normal operation
2024-04-28 21:00:00,Router_B,192.168.1.37,192.168.2.96,75.36,18.18,100,71.67,No,Normal operation
2024-04-28 22:00:00,Router_B,192.168.1.9,192.168.2.149,97.02,52.39,100,100.0,No,Normal operation
2024-04-28 23:00:00,Router_B,192.168.1.14,192.168.2.183,89.49,29.48,100,90.93,No,Normal operation
2024-04-29 00:00:00,Router_B,192.168.1.14,192.168.2.30,56.72,30.85,100,57.76,No,Normal operation
2024-04-29 01:00:00,Router_B,192.168.1.217,192.168.2.251,14.02,44.75,100,33.59,Yes,"Congestion detected, high utilization"
2024-04-29 02:00:00,Router_B,192.168.1.49,192.168.2.3,32.7,19.4,100,27.95,No,Normal operation
2024-04-29 03:00:00,Router_B,192.168.1.90,192.168.2.80,69.77,25.4,100,73.26,No,Normal operation
2024-04-29 04:00:00,Router_B,192.168.1.77,192.168.2.122,68.15,17.9,100,70.86,No,Normal operation
2024-04-29 05:00:00,Router_B,192.168.1.228,192.168.2.243,72.57,26.67,100,70.23,No,Normal operation
2024-04-29 06:00:00,Router_B,192.168.1.240,192.168.2.93,36.06,24.53,100,31.36,No,Normal operation
2024-04-29 07:00:00,Router_B,192.168.1.105,192.168.2.144,28.36,30.04,100,27.96,No,Normal operation
2024-04-29 08:00:00,Router_B,192.168.1.117,192.168.2.205,70.3,29.72,100,104.87,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-29 09:00:00,Router_B,192.168.1.185,192.168.2.70,96.8,50.02,100,98.08,No,Normal operation
2024-04-29 10:00:00,Router_B,192.168.1.209,192.168.2.141,78.67,20.79,100,103.83,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-29 11:00:00,Router_B,192.168.1.166,192.168.2.229,50.95,33.57,100,54.21,No,Normal operation
2024-04-29 12:00:00,Router_B,192.168.1.215,192.168.2.135,62.52,41.95,100,61.04,No,Normal operation
2024-04-29 13:00:00,Router_B,192.168.1.114,192.168.2.148,17.87,56.42,100,18.04,No,Normal operation
2024-04-29 14:00:00,Router_B,192.168.1.23,192.168.2.187,5.75,51.73,100,102.17,Yes,"Outage, bandwidth exceeded, packet loss"
2024-04-29 15:00:00,Router_B,192.168.1.148,192.168.2.99,27.31,24.28,100,24.61,No,Normal operation
2024-04-29 16:00:00,Router_B,192.168.1.33,192.168.2.178,16.52,50.63,100,17.31,No,Normal operation
2024-04-29 17:00:00,Router_B,192.168.1.174,192.168.2.232,44.84,14.26,100,39.86,No,Normal operation
